name,1st_Serve,1st_Serve_won,2nd_Serve_won,1st_Serve_Return_won,2nd_Serve_Return_won,Return_points_won
Alexander Bublik,59.30%,79.35%,42.34%,28.76%,47.71%,36.48%
Filip Misolic,59.29%,74.63%,51.09%,22.06%,47.56%,31.65%
Borna Coric,59.15%,74.52%,50.00%,29.29%,45.78%,35.66%
Sho Shimabukuro,58.99%,75.24%,50.00%,23.11%,50.00%,33.90%
Constant Lestienne,58.95%,70.54%,46.79%,28.13%,49.66%,36.66%
Marc Andrea Huesler,58.87%,75.34%,54.90%,22.63%,51.46%,35.00%
James Duckworth,58.80%,70.66%,58.97%,19.77%,47.87%,29.70%
Milos Raonic,58.77%,85.07%,53.19%,20.61%,42.53%,29.36%
Frances Tiafoe,58.74%,74.70%,52.16%,20.63%,47.18%,31.27%
Gael Monfils,58.73%,77.20%,50.10%,31.50%,49.76%,37.81%
Luca Van Assche,58.69%,68.44%,57.14%,27.21%,47.73%,35.14%
Max Purcell,58.55%,75.53%,49.08%,28.46%,48.23%,36.24%
Sebastian Ofner,58.50%,72.97%,49.76%,26.52%,53.26%,36.27%
Aslan Karatsev,58.47%,77.05%,53.08%,27.73%,48.72%,35.67%
Tommy Paul,58.32%,72.36%,53.65%,32.47%,48.89%,38.35%
Jordan Thompson,58.20%,76.34%,54.91%,27.36%,49.06%,35.18%
Rinky Hijikata,58.14%,66.33%,42.13%,26.41%,50.00%,35.56%
Richard Gasquet,58.12%,69.31%,50.24%,21.71%,48.22%,32.64%
Hugo Gaston,57.79%,66.18%,51.68%,26.27%,48.67%,33.94%
Shintaro Mochizuki,57.75%,67.70%,51.60%,26.17%,46.98%,33.83%
Marton Fucsovics,57.63%,71.91%,53.93%,27.39%,50.64%,36.09%
Dominic Stephan Stricker,57.06%,78.49%,51.43%,27.03%,49.22%,35.14%
Daniel Evans,56.80%,72.69%,53.31%,30.13%,50.16%,37.71%
Juan Manuel Cerundolo,56.73%,72.73%,43.71%,32.69%,46.15%,38.18%
Alex De Minaur,56.25%,71.00%,52.00%,31.58%,52.47%,40.03%
Fabio Fognini,56.15%,70.00%,47.56%,26.11%,53.08%,35.96%
Quentin Halys,56.01%,74.23%,44.53%,16.85%,51.06%,28.68%
Stan Wawrinka,55.33%,77.75%,54.83%,26.21%,44.11%,33.76%
Alibek Kachmazov,54.51%,68.50%,42.45%,34.97%,50.44%,41.80%
Taro Daniel,54.22%,70.82%,50.69%,26.55%,48.73%,35.52%
Jeffrey John Wolf,53.84%,74.92%,48.57%,28.78%,49.52%,36.25%
Omni Kumar,52.90%,70.80%,53.28%,19.05%,55.43%,33.05%
Yosuke Watanuki,52.59%,77.01%,48.58%,29.50%,39.04%,32.89%
